i =    0, x = 12.38, y = 7.32, z = 7.58
i = 3105, x = 1.84, y = -6.74, z = 5.86
i = 3108, x = 1.84, y = -6.74, z = 4.98
i = 3111, x = 1.84, y = 0.29, z = 4.98
i = 3114, x = -1.15, y = 0.29, z = 4.98
i = 3117, x = -1.15, y = 0.29, z = 5.86
i = 3120, x = 1.84, y = 0.29, z = 5.86
i = 3123, x = 11.51, y = -1.31, z = 9.73
i = 3126, x = 11.51, y = 0.29, z = 9.73
i = 3129, x = 11.51, y = 0.29, z = 7.65
i = 3132, x = -1.15, y = -6.74, z = 5.86
i = 3135, x = 1.84, y = -6.74, z = 5.86
i = 3138, x = 1.84, y = 0.29, z = 5.86
i = 3141, x = -1.15, y = 0.29, z = 4.98
i = 3144, x = 1.84, y = 0.29, z = 4.98
i = 3147, x = 1.84, y = -6.74, z = 4.98
i = 3150, x = 11.51, y = -1.51, z = 6.76
i = 3153, x = 11.51, y = -1.51, z = 7.79
i = 3156, x = 11.51, y = 0.29, z = 7.65
i = 3159, x = 11.51, y = -5.02, z = 7.79
i = 3162, x = 11.51, y = -1.51, z = 7.79
i = 3165, x = 11.51, y = -1.51, z = 6.76
i = 3168, x = 11.51, y = -6.74, z = 7.79
i = 3171, x = 11.51, y = -5.02, z = 7.79
i = 3174, x = 11.51, y = -5.02, z = 6.76
i = 3177, x = 11.51, y = -6.74, z = 6.76
i = 3180, x = 11.51, y = -5.02, z = 6.76
i = 3183, x = 11.51, y = -5.02, z = 5.86
i = 3186, x = 11.51, y = -5.02, z = 6.76
i = 3189, x = 11.51, y = -1.51, z = 6.76
i = 3192, x = 11.51, y = -1.51, z = 5.86
i = 3195, x = 11.51, y = -1.51, z = 5.86
i = 3198, x = 11.51, y = -1.51, z = 6.76
i = 3201, x = 11.51, y = 0.29, z = 6.69
i = 3204, x = 11.51, y = -6.74, z = 5.86
i = 3207, x = 8.52, y = -6.74, z = 5.86
i = 3210, x = 8.52, y = -6.74, z = 4.98
i = 3213, x = 8.52, y = 0.29, z = 5.86
i = 3216, x = 4.92, y = 0.29, z = 5.86
i = 3219, x = 4.92, y = 0.29, z = 4.98
i = 3222, x = 11.51, y = 0.29, z = 6.69
i = 3225, x = 11.51, y = 0.29, z = 7.65
i = 3228, x = 11.51, y = 0.74, z = 7.65
i = 3231, x = 11.51, y = 0.29, z = 5.86
i = 3234, x = 11.51, y = 0.29, z = 6.69
i = 3237, x = 11.51, y = 0.74, z = 6.69
i = 3240, x = 4.92, y = 0.29, z = 4.98
i = 3243, x = 4.92, y = -1.31, z = 4.98
i = 3246, x = 1.84, y = -1.31, z = 4.98
i = 3249, x = 4.92, y = -1.31, z = 4.98
i = 3252, x = 1.84, y = -1.31, z = 4.98
i = 3255, x = 1.84, y = -1.31, z = 5.86
i = 3258, x = 1.84, y = 0.29, z = 5.86
i = 3261, x = 1.84, y = -1.31, z = 5.86
i = 3264, x = 4.92, y = -1.31, z = 5.86
i = 3267, x = 1.84, y = 0.29, z = 5.86
i = 3270, x = 1.84, y = -1.31, z = 5.86
i = 3273, x = 1.84, y = -1.31, z = 4.98
i = 3276, x = 4.92, y = 0.29, z = 4.98
i = 3279, x = 4.92, y = -1.31, z = 4.98
i = 3282, x = 4.92, y = -1.31, z = 5.86
i = 3285, x = 11.51, y = -5.02, z = 5.86
i = 3288, x = 11.51, y = -1.51, z = 5.86
i = 3291, x = 8.52, y = -6.74, z = 5.86
i = 3294, x = 11.51, y = 0.29, z = 5.86
i = 3297, x = 8.52, y = 0.29, z = 5.86
i = 3300, x = 11.51, y = -1.51, z = 5.86
i = 3303, x = 8.52, y = -6.74, z = 5.86
i = 3306, x = 11.51, y = -6.74, z = 5.86
i = 3309, x = 11.51, y = -5.02, z = 5.86
i = 3312, x = -1.15, y = 0.29, z = 4.98
i = 3315, x = -1.15, y = -6.74, z = 4.98
i = 3318, x = -11.22, y = -6.74, z = 4.98
i = 3321, x = 4.92, y = -6.74, z = 4.98
i = 3324, x = 1.84, y = -6.74, z = 4.98
i = 3327, x = 1.84, y = -6.74, z = 5.86
i =    0, x = 12.39, y = -6.74, z = 9.73
i =    3, x = 11.51, y = -6.74, z = 12.78
i =    6, x = 12.39, y = -6.74, z = 12.78
i =    9, x = 11.51, y = -6.74, z = 9.73
i =   12, x = -4.31, y = -6.74, z = 5.86
i =   15, x = -4.31, y = -6.74, z = 15.53
i =   18, x = -4.31, y = 0.74, z = 15.53
i =   21, x = -1.16, y = 0.74, z = 10.69
i =   24, x = -4.31, y = 0.74, z = 5.86
i =   27, x = -11.22, y = 0.74, z = -15.53
i =   30, x = -11.24, y = 0.74, z = 4.97
i =   33, x = -11.22, y = 0.74, z = 4.98
i =   36, x = 6.57, y = 0.74, z = 10.71
i =   39, x = 11.51, y = 0.74, z = 5.86
i =   42, x = -1.15, y = 0.74, z = 5.86
i =   45, x = 11.50, y = 0.74, z = 10.72
i =   48, x = 8.55, y = 0.74, z = 14.67
i =   51, x = 11.51, y = 0.74, z = 14.65
i =   54, x = 12.39, y = -6.74, z = 9.73
i =   57, x = 11.51, y = -6.74, z = 9.73
i =   60, x = 11.51, y = -6.74, z = 12.78
i =   63, x = -4.31, y = -6.74, z = 15.53
i =   66, x = 11.51, y = -6.74, z = 15.53
i =   69, x = 11.51, y = -6.74, z = 12.78
i =   72, x = 11.51, y = -6.74, z = 9.73
i =   75, x = 11.51, y = -6.74, z = 5.86
i =   78, x = -4.31, y = -6.74, z = 5.86
i =   81, x = -4.31, y = -6.74, z = 15.53
i =   84, x = 11.51, y = -6.74, z = 12.78
i =   87, x = 11.51, y = -6.74, z = 9.73
i =   90, x = -1.15, y = 0.74, z = 5.86
i =   93, x = -4.31, y = 0.74, z = 5.86
i =   96, x = -1.16, y = 0.74, z = 10.69
i =   99, x = -4.31, y = 0.74, z = 15.53
i =  102, x = -1.17, y = 0.74, z = 15.53
i =  105, x = -1.16, y = 0.74, z = 10.69
i =  108, x = -11.22, y = 0.74, z = 4.98
i =  111, x = 11.51, y = 0.74, z = 5.00
i =  114, x = -11.22, y = 0.74, z = -15.53
i =  117, x = 11.53, y = 0.74, z = -15.52
i =  120, x = -11.22, y = 0.74, z = -15.53
i =  123, x = 11.51, y = 0.74, z = 5.00
i =  126, x = -1.15, y = 0.74, z = 5.86
i =  129, x = -1.16, y = 0.74, z = 10.69
i =  132, x = 6.57, y = 0.74, z = 10.71
i =  135, x = 6.57, y = 0.74, z = 10.71
i =  138, x = 11.50, y = 0.74, z = 10.72
i =  141, x = 11.51, y = 0.74, z = 7.65
i =  144, x = 11.51, y = 0.74, z = 7.65
i =  147, x = 11.51, y = 0.74, z = 5.86
i =  150, x = 6.57, y = 0.74, z = 10.71
i =  153, x = 11.50, y = 0.74, z = 10.72
i =  156, x = 6.57, y = 0.74, z = 10.71
i =  159, x = 8.55, y = 0.74, z = 14.67
i =    0, x = 6.23, y = 7.76, z = 15.53
i =    3, x = 3.60, y = 7.76, z = 15.53
i =    6, x = 6.23, y = 7.76, z = 16.40
i =    9, x = -6.00, y = 7.76, z = -16.40
i =   12, x = -3.73, y = 7.76, z = -15.53
i =   15, x = -3.73, y = 7.76, z = -16.40
i =   18, x = 11.51, y = 7.76, z = 16.40
i =   21, x = 12.38, y = 7.76, z = 15.53
i =   24, x = 11.51, y = 7.76, z = 15.53
i =   27, x = 11.51, y = 7.76, z = -15.53
i =   30, x = 12.38, y = 7.76, z = -16.40
i =   33, x = 11.51, y = 7.76, z = -16.40
i =   36, x = -5.19, y = 7.76, z = 15.53
i =   39, x = -4.31, y = 7.76, z = 16.40
i =   42, x = -4.31, y = 7.76, z = 15.53
i =   45, x = 12.38, y = 7.76, z = 15.53
i =   48, x = 11.51, y = 7.76, z = 14.65
i =   51, x = 11.51, y = 7.76, z = 15.53
i =   54, x = -5.19, y = 7.76, z = 4.98
i =   57, x = -11.21, y = 7.76, z = 5.86
i =   60, x = -5.19, y = 7.76, z = 5.86
i =   63, x = -11.22, y = 7.75, z = 4.98
i =   66, x = -12.38, y = 7.76, z = 5.86
i =   69, x = -11.21, y = 7.76, z = 5.86
i =   72, x = -12.38, y = 7.75, z = 4.98
i =   75, x = -11.22, y = 7.76, z = -15.53
i =   78, x = -12.40, y = 7.75, z = -15.53
i =   81, x = -12.40, y = 7.76, z = -16.40
i =   84, x = -11.22, y = 7.76, z = -15.53
i =   87, x = -11.22, y = 7.76, z = -16.40
i =   90, x = -5.19, y = 7.76, z = 4.98
i =   93, x = -4.31, y = 7.76, z = 5.86
i =   96, x = -4.31, y = 7.76, z = 4.98
i =   99, x = 12.38, y = 7.76, z = 5.89
i =  102, x = 11.51, y = 7.76, z = 4.98
i =  105, x = 11.51, y = 7.76, z = 5.86
i =  108, x = 12.38, y = 7.76, z = 4.94
i =  111, x = 11.51, y = 7.76, z = -15.53
i =  114, x = 11.51, y = 7.76, z = 4.98
i =  117, x = -4.31, y = 7.76, z = 4.98
i =  120, x = -11.22, y = 7.76, z = -15.53
i =  123, x = -5.19, y = 7.76, z = 4.98
i =  126, x = 11.51, y = 7.76, z = 5.86
i =  129, x = -4.31, y = 7.76, z = 4.98
i =  132, x = -4.31, y = 7.76, z = 5.86
i =  135, x = -4.31, y = 7.76, z = 5.86
i =  138, x = -4.31, y = 7.76, z = 15.53
i =  141, x = 11.51, y = 7.76, z = 14.65
i =  144, x = 11.51, y = 7.76, z = 14.65
i =  147, x = 12.38, y = 7.76, z = 5.89
i =  150, x = 11.51, y = 7.76, z = 5.86
i =  153, x = -5.19, y = 7.76, z = 15.53
i =  156, x = -4.31, y = 7.76, z = 5.86
i =  159, x = -5.19, y = 7.76, z = 5.86
i =  162, x = -5.19, y = -6.74, z = 16.40
i =  165, x = -5.19, y = -5.02, z = 15.53
i =  168, x = -5.19, y = -6.74, z = 15.53
i =  171, x = -4.31, y = -6.74, z = 16.40
i =  174, x = -5.19, y = -5.02, z = 16.40
i =  177, x = -5.19, y = -6.74, z = 16.40
i =  180, x = 12.39, y = 0.29, z = 14.65
i =  183, x = 12.39, y = -1.31, z = 12.78
i =  186, x = 12.39, y = 0.29, z = 12.78
i =  189, x = 12.39, y = 0.29, z = -16.40
i =  192, x = 12.39, y = -6.74, z = -15.53
i =  195, x = 12.39, y = -6.74, z = -16.40
i =  198, x = 12.39, y = -6.74, z = 16.40
i =  201, x = 11.51, y = -5.02, z = 16.40
i =  204, x = 11.51, y = -6.74, z = 16.40
i =  207, x = -4.31, y = -5.02, z = 16.40
i =  210, x = -5.19, y = -1.51, z = 16.40
i =  213, x = -5.19, y = -5.02, z = 16.40
i =  216, x = 11.51, y = -5.02, z = 16.40
i =  219, x = 8.87, y = -1.51, z = 16.40
i =  222, x = 8.87, y = -5.02, z = 16.40
i =  225, x = 12.39, y = -6.74, z = 14.65
i =  228, x = 12.39, y = -5.02, z = 12.78
i =  231, x = 12.39, y = -5.02, z = 14.65
i =  234, x = 12.39, y = -6.74, z = 7.72
i =  237, x = 11.51, y = -6.74, z = 4.98
i =  240, x = 12.39, y = -6.74, z = 4.98
i =  243, x = 11.51, y = -6.74, z = 16.40
i =  246, x = 8.87, y = -5.02, z = 16.40
i =  249, x = 8.87, y = -6.74, z = 16.40
i =  252, x = 6.23, y = -5.02, z = 16.40
i =  255, x = 3.60, y = -1.51, z = 16.40
i =  258, x = 3.60, y = -5.02, z = 16.40
i =  261, x = 12.39, y = -6.74, z = -15.53
i =  264, x = 11.51, y = -6.74, z = 4.98
i =  267, x = 11.51, y = -6.74, z = -15.53
i =  270, x = -1.68, y = -6.74, z = 16.40
i =  273, x = -4.31, y = -5.02, z = 16.40
i =  276, x = -4.31, y = -6.74, z = 16.40
i =  279, x = 0.96, y = -6.74, z = 16.40
i =  282, x = -1.68, y = -5.02, z = 16.40
i =  285, x = -1.68, y = -6.74, z = 16.40
i =  288, x = 3.60, y = -6.74, z = 16.40
i =  291, x = 0.96, y = -5.02, z = 16.40
i =  294, x = 0.96, y = -6.74, z = 16.40
i =  297, x = 6.23, y = -6.74, z = 16.40
i =  300, x = 3.60, y = -5.02, z = 16.40
i =  303, x = 3.60, y = -6.74, z = 16.40
i =  306, x = 8.87, y = -6.74, z = 16.40
i =  309, x = 6.23, y = -5.02, z = 16.40
i =  312, x = 6.23, y = -6.74, z = 16.40
i =  315, x = 3.60, y = -5.02, z = 16.40
i =  318, x = 0.96, y = -1.51, z = 16.40
i =  321, x = 0.96, y = -5.02, z = 16.40
i =  324, x = -5.19, y = -5.02, z = 16.40
i =  327, x = -5.19, y = -1.51, z = 15.53
i =  330, x = -5.19, y = -5.02, z = 15.53
i =  333, x = 12.39, y = -5.02, z = 15.53
i =  336, x = 12.39, y = -1.51, z = 16.40
i =  339, x = 12.39, y = -5.02, z = 16.40
i =  342, x = 12.39, y = -5.02, z = 16.40
i =  345, x = 11.51, y = -1.51, z = 16.40
i =  348, x = 11.51, y = -5.02, z = 16.40
i =  351, x = 9.88, y = -5.02, z = -16.40
i =  354, x = 11.51, y = -1.51, z = -16.40
i =  357, x = 11.51, y = -5.02, z = -16.40
i =  360, x = -1.68, y = -5.02, z = 16.40
i =  363, x = -4.31, y = -1.51, z = 16.40
i =  366, x = -4.31, y = -5.02, z = 16.40
i =  369, x = 1.27, y = -5.02, z = -16.40
i =  372, x = 3.25, y = -1.51, z = -16.40
i =  375, x = 3.25, y = -5.02, z = -16.40
i =  378, x = -4.31, y = -1.51, z = 16.40
i =  381, x = -5.19, y = 0.29, z = 16.40
i =  384, x = -5.19, y = -1.51, z = 16.40
i =  387, x = -5.19, y = -1.51, z = 15.53
i =  390, x = -5.19, y = -6.74, z = 5.86
i =  393, x = -5.19, y = -5.02, z = 15.53
i =  396, x = 8.87, y = 0.29, z = 16.40
i =  399, x = 6.23, y = -1.51, z = 16.40
i =  402, x = 8.87, y = -1.51, z = 16.40
i =  405, x = 11.51, y = -1.51, z = 16.40
i =  408, x = 8.87, y = 0.29, z = 16.40
i =  411, x = 8.87, y = -1.51, z = 16.40
i =  414, x = 0.96, y = 0.29, z = 16.40
i =  417, x = -1.68, y = -1.51, z = 16.40
i =  420, x = 0.96, y = -1.51, z = 16.40
i =  423, x = -1.24, y = 0.29, z = -16.40
i =  426, x = 1.27, y = -1.51, z = -16.40
i =  429, x = -1.24, y = -1.51, z = -16.40
i =  432, x = -5.19, y = -1.51, z = 16.40
i =  435, x = -5.19, y = 0.29, z = 15.53
i =  438, x = -5.19, y = -1.51, z = 15.53
i =  441, x = -1.68, y = -1.51, z = 16.40
i =  444, x = -4.31, y = 0.29, z = 16.40
i =  447, x = -4.31, y = -1.51, z = 16.40
i =  450, x = 3.60, y = -1.51, z = 16.40
i =  453, x = 0.96, y = 0.29, z = 16.40
i =  456, x = 0.96, y = -1.51, z = 16.40
i =  459, x = 6.23, y = -1.51, z = 16.40
i =  462, x = 3.60, y = 0.29, z = 16.40
i =  465, x = 3.60, y = -1.51, z = 16.40
i =  468, x = 12.39, y = -1.51, z = 16.40
i =  471, x = 12.39, y = 0.29, z = 15.53
i =  474, x = 12.39, y = 0.29, z = 16.40
i =  477, x = 12.39, y = -1.51, z = 16.40
i =  480, x = 11.51, y = 0.29, z = 16.40
i =  483, x = 11.51, y = -1.51, z = 16.40
i =  486, x = 12.39, y = -1.51, z = 14.65
i =  489, x = 12.39, y = 0.29, z = 15.53
i =  492, x = 12.39, y = -1.51, z = 15.53
i =  495, x = 12.39, y = -5.02, z = 14.65
i =  498, x = 12.39, y = -1.51, z = 15.53
i =  501, x = 12.39, y = -5.02, z = 15.53
i =  504, x = 12.39, y = -1.36, z = 7.72
i =  507, x = 12.39, y = 0.29, z = 9.73
i =  510, x = 12.39, y = -1.31, z = 9.73
i =  513, x = 12.39, y = -5.02, z = 9.73
i =  516, x = 12.39, y = -1.36, z = 7.72
i =  519, x = 12.39, y = -1.31, z = 9.73
i =  522, x = 12.39, y = -6.74, z = 9.73
i =  525, x = 12.39, y = -5.02, z = 7.72
i =  528, x = 12.39, y = -5.02, z = 9.73
i =  531, x = -5.19, y = -6.74, z = 5.86
i =  534, x = -11.21, y = 0.29, z = 5.86
i =  537, x = -11.21, y = -6.74, z = 5.86
i =  540, x = -12.38, y = -6.74, z = 4.98
i =  543, x = -12.40, y = 0.28, z = -15.53
i =  546, x = -12.40, y = -6.74, z = -15.53
i =  549, x = -12.38, y = 0.28, z = 4.98
i =  552, x = -12.38, y = -6.74, z = 5.86
i =  555, x = -12.38, y = 0.29, z = 5.86
i =  558, x = -11.21, y = 0.29, z = 5.86
i =  561, x = -12.38, y = -6.74, z = 5.86
i =  564, x = -11.21, y = -6.74, z = 5.86
i =  567, x = 3.25, y = -1.51, z = -16.40
i =  570, x = 5.57, y = 0.29, z = -16.40
i =  573, x = 5.57, y = -1.51, z = -16.40
i =  576, x = 12.39, y = -6.74, z = 4.98
i =  579, x = 12.39, y = 0.29, z = 7.66
i =  582, x = 12.39, y = -1.36, z = 7.72
i =  585, x = 5.57, y = -5.02, z = -16.40
i =  588, x = 3.25, y = -6.74, z = -16.40
i =  591, x = 3.25, y = -5.02, z = -16.40
i =  594, x = 7.55, y = -1.51, z = -16.40
i =  597, x = 9.88, y = 0.29, z = -16.40
i =  600, x = 9.88, y = -1.51, z = -16.40
i =  603, x = 9.88, y = -5.02, z = -16.40
i =  606, x = 7.55, y = -6.74, z = -16.40
i =  609, x = 7.55, y = -5.02, z = -16.40
i =  612, x = 1.27, y = -5.02, z = -16.40
i =  615, x = -1.24, y = -6.74, z = -16.40
i =  618, x = -1.24, y = -5.02, z = -16.40
i =  621, x = 9.88, y = -6.74, z = -16.40
i =  624, x = 11.51, y = -5.02, z = -16.40
i =  627, x = 11.51, y = -6.74, z = -16.40
i =  630, x = 7.55, y = -5.02, z = -16.40
i =  633, x = 5.57, y = -6.74, z = -16.40
i =  636, x = 5.57, y = -5.02, z = -16.40
i =  639, x = 3.25, y = -6.74, z = -16.40
i =  642, x = 1.27, y = -5.02, z = -16.40
i =  645, x = 3.25, y = -5.02, z = -16.40
i =  648, x = -8.73, y = -6.74, z = -16.40
i =  651, x = -11.22, y = -4.99, z = -16.40
i =  654, x = -8.73, y = -4.99, z = -16.40
i =  657, x = 1.27, y = -1.51, z = -16.40
i =  660, x = 3.25, y = 0.29, z = -16.40
i =  663, x = 3.25, y = -1.51, z = -16.40
i =  666, x = 5.57, y = -1.51, z = -16.40
i =  669, x = 7.55, y = 0.29, z = -16.40
i =  672, x = 7.55, y = -1.51, z = -16.40
i =  675, x = 7.55, y = -1.51, z = -16.40
i =  678, x = 5.57, y = -5.02, z = -16.40
i =  681, x = 5.57, y = -1.51, z = -16.40
i =  684, x = 9.88, y = 0.29, z = -16.40
i =  687, x = 11.51, y = -1.51, z = -16.40
i =  690, x = 9.88, y = -1.51, z = -16.40
i =  693, x = -8.73, y = -4.99, z = -16.40
i =  696, x = -11.22, y = -1.47, z = -16.40
i =  699, x = -8.73, y = -1.47, z = -16.40
i =  702, x = -3.73, y = -6.74, z = -16.40
i =  705, x = -6.00, y = -4.99, z = -16.40
i =  708, x = -3.73, y = -4.99, z = -16.40
i =  711, x = -1.24, y = -6.74, z = -16.40
i =  714, x = -3.73, y = -4.99, z = -16.40
i =  717, x = -1.24, y = -4.99, z = -16.40
i =  720, x = -3.73, y = -1.47, z = -16.40
i =  723, x = -6.00, y = 0.29, z = -16.40
i =  726, x = -3.73, y = 0.29, z = -16.40
i =  729, x = -1.24, y = -1.47, z = -16.40
i =  732, x = -3.73, y = 0.29, z = -16.40
i =  735, x = -1.24, y = 0.29, z = -16.40
i =  738, x = -8.73, y = -1.47, z = -16.40
i =  741, x = -11.22, y = 0.29, z = -16.40
i =  744, x = -8.73, y = 0.29, z = -16.40
i =  747, x = -6.00, y = -1.47, z = -16.40
i =  750, x = -8.73, y = 0.29, z = -16.40
i =  753, x = -6.00, y = 0.29, z = -16.40
i =  756, x = -1.24, y = -4.99, z = -16.40
i =  759, x = -3.73, y = -1.47, z = -16.40
i =  762, x = -1.24, y = -1.47, z = -16.40
i =  765, x = -6.00, y = -4.99, z = -16.40
i =  768, x = -8.73, y = -1.47, z = -16.40
i =  771, x = -6.00, y = -1.47, z = -16.40
i =  774, x = -6.00, y = -6.74, z = -16.40
i =  777, x = -8.73, y = -4.99, z = -16.40
i =  780, x = -6.00, y = -4.99, z = -16.40
i =  783, x = 11.51, y = 0.29, z = 9.73
i =  786, x = 12.38, y = 0.29, z = 10.70
i =  789, x = 11.50, y = 0.29, z = 10.72
i =  792, x = -11.22, y = 7.32, z = -16.40
i =  795, x = 11.51, y = 7.76, z = -16.40
i =  798, x = 11.51, y = 7.32, z = -16.40
i =  801, x = 11.51, y = 7.32, z = 16.40
i =  804, x = 12.38, y = 7.76, z = 16.40
i =  807, x = 11.51, y = 7.76, z = 16.40
i =  810, x = -5.19, y = 7.32, z = 4.98
i =  813, x = -4.31, y = 7.76, z = 4.98
i =  816, x = -4.31, y = 7.32, z = 4.98
i =  819, x = 11.51, y = 7.32, z = -16.40
i =  822, x = 12.38, y = 7.76, z = -16.40
i =  825, x = 12.38, y = 7.32, z = -16.40
i =  828, x = 11.51, y = 7.32, z = -15.53
i =  831, x = 12.38, y = 7.76, z = -15.53
i =  834, x = 11.51, y = 7.76, z = -15.53
i =  837, x = -1.16, y = 7.32, z = 16.40
i =  840, x = 0.96, y = 7.76, z = 16.40
i =  843, x = -1.16, y = 7.76, z = 16.40
i =  846, x = 3.60, y = 7.32, z = 16.40
i =  849, x = 6.23, y = 7.76, z = 16.40
i =  852, x = 3.60, y = 7.76, z = 16.40
i =  855, x = 1.27, y = 0.29, z = -16.40
i =  858, x = 11.51, y = 0.74, z = -16.40
i =  861, x = 3.25, y = 0.29, z = -16.40
i =  864, x = -12.38, y = 0.29, z = 5.86
i =  867, x = -12.38, y = 0.74, z = 4.98
i =  870, x = -12.38, y = 0.28, z = 4.98
i =  873, x = 11.51, y = 0.29, z = -16.40
i =  876, x = 12.39, y = 0.74, z = -16.40
i =  879, x = 12.39, y = 0.29, z = -16.40
i =  882, x = 12.39, y = -5.02, z = 14.65
i =  885, x = 12.39, y = -6.74, z = 15.53
i =  888, x = 12.39, y = -6.74, z = 14.65
i =  891, x = 12.39, y = 0.29, z = 15.53
i =  894, x = 12.39, y = 0.74, z = 16.40
i =  897, x = 12.39, y = 0.29, z = 16.40
i =  900, x = 0.96, y = 0.29, z = 16.40
i =  903, x = 3.60, y = 0.74, z = 16.40
i =  906, x = 0.96, y = 0.74, z = 16.40
i =  909, x = -5.19, y = 0.29, z = 16.40
i =  912, x = -4.31, y = 0.74, z = 16.40
i =  915, x = -5.19, y = 0.74, z = 16.40
i =  918, x = 11.51, y = 0.29, z = 16.40
i =  921, x = 12.39, y = 0.74, z = 16.40
i =  924, x = 11.51, y = 0.74, z = 16.40
i =  927, x = -12.40, y = 0.74, z = -16.40
i =  930, x = -12.40, y = 7.31, z = -15.53
i =  933, x = -12.40, y = 7.32, z = -16.40
i =  936, x = -12.38, y = 0.74, z = 5.86
i =  939, x = -12.38, y = 7.31, z = 4.98
i =  942, x = -12.38, y = 0.74, z = 4.98
i =  945, x = 11.51, y = 0.74, z = -16.40
i =  948, x = 12.38, y = 7.32, z = -16.40
i =  951, x = 12.39, y = 0.74, z = -16.40
i =  954, x = 0.96, y = 0.74, z = 16.40
i =  957, x = 3.60, y = 7.32, z = 16.40
i =  960, x = 0.96, y = 7.32, z = 16.40
i =  963, x = -11.22, y = 7.32, z = -15.53
i =  966, x = 11.51, y = 7.76, z = -15.53
i =  969, x = -11.22, y = 7.76, z = -15.53
i =  972, x = 12.39, y = 0.74, z = 15.53
i =  975, x = 12.38, y = 7.32, z = 16.40
i =  978, x = 12.39, y = 0.74, z = 16.40
i =  981, x = 12.39, y = 0.74, z = -16.40
i =  984, x = 12.38, y = 7.32, z = -15.53
i =  987, x = 12.39, y = 0.74, z = -15.53
i =  990, x = -5.19, y = 0.74, z = 16.40
i =  993, x = -4.31, y = 7.32, z = 16.40
i =  996, x = -5.19, y = 7.32, z = 16.40
i =  999, x = -12.40, y = 0.74, z = -15.53
i = 1002, x = -12.38, y = 7.31, z = 4.98
i = 1005, x = -12.40, y = 7.31, z = -15.53
i = 1008, x = 8.87, y = 0.74, z = 16.40
i = 1011, x = 11.51, y = 7.32, z = 16.40
i = 1014, x = 8.87, y = 7.32, z = 16.40
i = 1017, x = -1.68, y = 0.29, z = 16.40
i = 1020, x = -4.31, y = 0.74, z = 16.40
i = 1023, x = -4.31, y = 0.29, z = 16.40
i = 1026, x = -11.21, y = 0.29, z = 5.86
i = 1029, x = -5.19, y = 0.74, z = 5.86
i = 1032, x = -11.21, y = 0.74, z = 5.86
i = 1035, x = -5.19, y = 0.29, z = 15.53
i = 1038, x = -5.19, y = 0.74, z = 16.40
i = 1041, x = -5.19, y = 0.74, z = 15.53
i = 1044, x = 3.60, y = 0.29, z = 16.40
i = 1047, x = 6.23, y = 0.74, z = 16.40
i = 1050, x = 3.60, y = 0.74, z = 16.40
i = 1053, x = -5.19, y = 0.29, z = 5.86
i = 1056, x = -5.19, y = 0.74, z = 15.53
i = 1059, x = -5.19, y = 0.74, z = 5.86
i = 1062, x = -12.38, y = 0.29, z = 5.86
i = 1065, x = -11.21, y = 0.74, z = 5.86
i = 1068, x = -12.38, y = 0.74, z = 5.86
i = 1071, x = 6.23, y = 0.29, z = 16.40
i = 1074, x = 8.87, y = 0.74, z = 16.40
i = 1077, x = 6.23, y = 0.74, z = 16.40
i = 1080, x = 0.96, y = 0.29, z = 16.40
i = 1083, x = -1.16, y = 0.74, z = 16.40
i = 1086, x = -1.68, y = 0.29, z = 16.40
i = 1089, x = 8.87, y = 0.29, z = 16.40
i = 1092, x = 11.51, y = 0.74, z = 16.40
i = 1095, x = 8.87, y = 0.74, z = 16.40
i = 1098, x = -12.40, y = 0.28, z = -15.53
i = 1101, x = -12.38, y = 0.74, z = 4.98
i = 1104, x = -12.40, y = 0.74, z = -15.53
i = 1107, x = -12.40, y = 0.29, z = -16.40
i = 1110, x = -11.22, y = 0.74, z = -16.40
i = 1113, x = -11.22, y = 0.29, z = -16.40
i = 1116, x = -12.40, y = 7.32, z = -16.40
i = 1119, x = -11.22, y = 7.76, z = -16.40
i = 1122, x = -11.22, y = 7.32, z = -16.40
i = 1125, x = -12.38, y = 7.32, z = 5.86
i = 1128, x = -11.21, y = 7.76, z = 5.86
i = 1131, x = -12.38, y = 7.76, z = 5.86
i = 1134, x = -5.19, y = 7.32, z = 5.86
i = 1137, x = -5.19, y = 7.76, z = 15.53
i = 1140, x = -5.19, y = 7.76, z = 5.86
i = 1143, x = -5.19, y = 7.32, z = 4.98
i = 1146, x = -11.22, y = 7.75, z = 4.98
i = 1149, x = -5.19, y = 7.76, z = 4.98
i = 1152, x = -5.19, y = 0.74, z = 15.53
i = 1155, x = -5.19, y = 7.32, z = 16.40
i = 1158, x = -5.19, y = 7.32, z = 15.53
i = 1161, x = 3.60, y = 0.74, z = 16.40
i = 1164, x = 6.23, y = 7.32, z = 16.40
i = 1167, x = 3.60, y = 7.32, z = 16.40
i = 1170, x = -4.31, y = 0.74, z = 16.40
i = 1173, x = -1.16, y = 7.32, z = 16.40
i = 1176, x = -4.31, y = 7.32, z = 16.40
i = 1179, x = -5.19, y = 0.74, z = 5.86
i = 1182, x = -5.19, y = 7.32, z = 15.53
i = 1185, x = -5.19, y = 7.32, z = 5.86
i = 1188, x = -11.21, y = 0.74, z = 5.86
i = 1191, x = -5.19, y = 7.32, z = 5.86
i = 1194, x = -11.21, y = 7.32, z = 5.86
i = 1197, x = -12.38, y = 0.74, z = 5.86
i = 1200, x = -11.21, y = 7.32, z = 5.86
i = 1203, x = -12.38, y = 7.32, z = 5.86
